127.0.0.1 - - [21/Dec/2023:16:35:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:35:09 +0530] "GET /saloon/ HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:35:09 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:35:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:36:15 +0530] "GET /saloon/ HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:36:15 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:36:31 +0530] "GET /saloon/ HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:36:31 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:36:34 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:36:34 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:37:26 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:37:26 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:38:40 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:38:40 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:39:45 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:39:45 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:40:32 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:40:32 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:40:53 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:40:53 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:43:46 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:43:46 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:46:21 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:46:21 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:46:55 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:46:55 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:54:06 +0530] "GET /saloon/ HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:54:06 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:54:08 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:54:08 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:54:56 +0530] "GET /saloon/Booking.jsp HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:54:57 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:55:14 +0530] "POST /saloon/ticket HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [21/Dec/2023:16:55:14 +0530] "GET /saloon/Saloon.css HTTP/1.1" 404 682
