127.0.0.1 - - [04/Jan/2024:16:16:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:19:06 +0530] "GET /user HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:19:42 +0530] "GET /User HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:19:45 +0530] "GET /User/ HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:21:16 +0530] "GET /User/ HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:22:42 +0530] "GET /User/ HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:23:25 +0530] "GET /User/ HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:23:27 +0530] "GET /User/AddUser.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:23:31 +0530] "GET /User/ViewUser.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:27:36 +0530] "GET /User/ HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:27:36 +0530] "GET /User/ HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:27:37 +0530] "GET /User/ HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:27:37 +0530] "GET /User/ HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:27:39 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:13 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:35 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:36 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:36 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:36 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:36 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:37 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:37 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:37 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:37 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:33:37 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:34:18 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:34:35 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:34:51 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:38:59 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:46:01 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:46:38 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:46:51 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:47:17 +0530] "POST /SpringBall/mallu HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:49:15 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:50:45 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [04/Jan/2024:16:52:30 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [04/Jan/2024:17:00:45 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1614
